Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
p,atl_trx_dc1_p1,Ethernet25/1,pe,atl_trx_dc1_pe1,Ethernet25/1,True
p,atl_trx_dc1_p1,Ethernet26/1,pe,atl_trx_dc1_pe2,Ethernet25/1,True
p,atl_trx_dc1_p2,Ethernet25/1,pe,atl_trx_dc1_pe1,Ethernet26/1,True
p,atl_trx_dc1_p2,Ethernet26/1,pe,atl_trx_dc1_pe2,Ethernet26/1,True
pe,atl_trx_dc1_pe1,Ethernet1/1,other,ATL-SI1-DC1-N1,Ethernet3/14/1,True
pe,atl_trx_dc1_pe1,Ethernet2/1,other,ATL-SI1-DC1-N2,Ethernet3/14/1,True
pe,atl_trx_dc1_pe1,Ethernet3/1,other,ATL-ST1-DC1-N1,Ethernet3/49/1,True
pe,atl_trx_dc1_pe1,Ethernet4/1,other,ATL-ST1-DC1-N2,Ethernet3/49/1,True
pe,atl_trx_dc1_pe1,Ethernet14/1,other,ATL-SE1-DC1-N1,Ethernet49/1,True
pe,atl_trx_dc1_pe1,Ethernet22/1,other,ATL-SE1-DC1-N2,Ethernet49/1,True
pe,atl_trx_dc1_pe1,Ethernet23/1,other,ATL-SOB1-DC1-N1,Ethernet3/49/1,True
pe,atl_trx_dc1_pe1,Ethernet24/1,other,ATL-SOB1-DC1-N2,Ethernet3/49/1,True
pe,atl_trx_dc1_pe1,Ethernet25/1,p,atl_trx_dc1_p1,Ethernet25/1,True
pe,atl_trx_dc1_pe1,Ethernet26/1,p,atl_trx_dc1_p2,Ethernet25/1,True
pe,atl_trx_dc1_pe1,Port-Channel110,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel110.2001,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel110.2004,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel111,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel111.2001,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel111.2004,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel114,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel114.2001,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel115,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel115.2001,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel116,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel116.2001,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel117,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel117.2001,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel211,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel211.2001,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel211.2004,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel211.2005,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel211.2006,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel212,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel212.2001,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel212.2004,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel212.2005,l3_interface,,,True
pe,atl_trx_dc1_pe1,Port-Channel212.2006,l3_interface,,,True
pe,atl_trx_dc1_pe2,Ethernet1/1,other,ATL-SI1-DC1-N1,Ethernet4/49/1,True
pe,atl_trx_dc1_pe2,Ethernet2/1,other,ATL-SI1-DC1-N2,Ethernet4/49/1,True
pe,atl_trx_dc1_pe2,Ethernet3/1,other,ATL-ST1-DC1-N1,Ethernet4/49/1,True
pe,atl_trx_dc1_pe2,Ethernet4/1,other,ATL-ST1-DC1-N2,Ethernet49/1,True
