Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
p,atl-trx1-dc1-p1,Ethernet1/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet1/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet1/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet1/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet2/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet2/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet2/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet2/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet3/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet3/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet3/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet3/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet4/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet4/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet4/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet4/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet5/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet5/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet5/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet5/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet6/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet6/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet6/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet6/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet7/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet7/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet7/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet7/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet8/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet8/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet8/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet8/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet9/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet9/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet9/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet9/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet10/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet10/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet10/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet10/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet11/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet11/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet11/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet11/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet12/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet12/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet12/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet12/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet13/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet13/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet13/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet13/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet14/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet14/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet14/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet14/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet15/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet15/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet15/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet15/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet16/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet16/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet16/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet16/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet17/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet17/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet17/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet17/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet18/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet18/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet18/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet18/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet19/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet19/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet19/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet19/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet20/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet20/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet20/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet20/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet21/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet21/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet21/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet21/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet22/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet22/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet22/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet22/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet23/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet23/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet23/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet23/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet24/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet24/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet24/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet24/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet25/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet25/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet25/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet26/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet26/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet26/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet27/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet27/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet27/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet27/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet28/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet28/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet28/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet28/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet29/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet29/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet29/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet29/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet30/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet30/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet30/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet31/2,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet31/3,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet31/4,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/1,network_port,,,True
p,atl-trx1-dc1-p1,Ethernet33/2,network_port,,,True
